1.000000000000000021e-03;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.311111111111111352e-02;5.957031250000000000e-02;6.347656250000000000e-02;4.003906250000000000e-02;9.765625000000000000e-04;6.933593750000000000e-02
4.522222222222222615e-02;1.621093750000000000e-01;1.777343750000000000e-01;1.123046875000000000e-01;9.765625000000000000e-04;1.992187500000000000e-01
6.733333333333334225e-02;3.076171875000000000e-01;3.535156250000000000e-01;2.001953125000000000e-01;2.929687500000000000e-03;4.199218750000000000e-01
8.944444444444445141e-02;4.765625000000000000e-01;5.478515625000000000e-01;3.447265625000000000e-01;6.835937500000000000e-03;6.679687500000000000e-01
1.115555555555555606e-01;6.445312500000000000e-01;6.914062500000000000e-01;4.980468750000000000e-01;8.789062500000000000e-03;8.505859375000000000e-01
1.336666666666666836e-01;7.509765625000000000e-01;7.861328125000000000e-01;6.123046875000000000e-01;1.171875000000000000e-02;9.580078125000000000e-01
1.557777777777777928e-01;8.339843750000000000e-01;8.574218750000000000e-01;7.519531250000000000e-01;1.074218750000000000e-02;9.912109375000000000e-01
1.778888888888889019e-01;9.111328125000000000e-01;9.111328125000000000e-01;8.447265625000000000e-01;2.343750000000000000e-02;9.980468750000000000e-01
2.000000000000000111e-01;9.404296875000000000e-01;9.414062500000000000e-01;8.955078125000000000e-01;1.855468750000000000e-02;1.000000000000000000e+00
